LABEL	DOCUMENT
money-fx	ec ministers will discuss strengthening ems float european community finance ministers and central bankers meet in belgium this weekend to discuss strengthening europe s joint currency float amid continuing worries about turbulence on foreign exchanges belgian finance minister mark eyskens who will host the informal talks told reuters the ministers and central bank chiefs would discuss the situation on currency markets in the light of the february agreement among leading industrialised countries to stabilise exchange rates around present levels in an interview eyskens said he felt the paris accord between the united states japan west germany france britain and canada had proved itself more or less workable but doubts over its effectiveness and durability have been growing since fears of a trade war between the united states and japan over computer microchips pushed the dollar to a record low against the surging yen early this week the talks at the belgian resort of knokke are being held to coordinate the ec s positions on monetary issues and third world debt ahead of the spring meetings of the international monetary fund and world bank in washington next week the ec gathering begins tonight with a dinner but the main discussions will take place tomorrow continued international currency turbulence could undermine plans for reinforcing the european monetary system the joint float holding eight ec currencies within narrow fluctuation bands which will feature high on the weekend agenda eyskens has repeatedly said that europe needs a period of calm on world currency markets and in particular a more stable dollar before it can set about strengthening the ems to make it more resilient against exchange rate swings the ems has been taking a battering over the last year as the falling dollar has sent funds surging into the dominant ems currency the west german mark forcing ministers to undertake two major realignments of parities within nine months in the interview eyskens made clear he was hoping for a wide ranging discussion on the future of the eight year old ems on the basis of proposals for bolstering it drawn up by the ec s monetary committee and the committee of central bank governors the committees were asked to come up with the proposals after the last reshuffle of ems exchange rates in january eyskens repeated calls for the european currency unit the fledgling ec currency at the core of the system to take over the mark s dominant role in the ems a proposal that has met with a cool response in west germany he said ec commission president jacques delors would report to the meeting on problems raised by plans to liberalise capital movements fully within the nation bloc by such as the need for harmonising taxes and banking controls eyskens said liberalisation of capital movements without strengthening the ems would be an element of destabilisation in the community he said the crucial issue in the debate was whether member states were willing to push further towards the ec s goal of monetary integration on the basis of an ems that included management of exchange rates by some kind of common institution instead of by national central banks as at present plans for the creation of such an institution foreseen by the ems s founding fathers have been thwarted by the reluctance of some countries notably west germany to gove up their sovereignty in the monetary field ems development has also been held up by britain s refusal so far to join the system s core exchange rate mechanism reuter
grain	izvestia says soviet winter crops need reseeding the government daily izvestia said a considerable amount of soviet winter crops need to be reseeded and the state grain harvest target of mln tonnes will not be easy to fulfil without giving figures the newspaper said a considerable part of the winter crops must be reseeded but that creates extra effort in the fields in spring the soviet union has previously said nine mln hectares of winter grain will have to be reseeded because of winterkill a u s department of agriculture analyst in washington has said the figure of nine mln hectares would equal about pct of the total winter crop and would be the second highest winterkill in years the planned task of bringing in no less than mln tonnes of grain is not simple izvestia said this week s sudden fall in temperatures has affected large parts of the country and has caused fieldwork to stop in the ukraine it said adding that temperatures fell to as low as minus centigrade in byelorussia reuter
earn	trizec corp ltd st qtr jan net shr cts vs cts net mln vs mln revs mln vs mln avg shrs mln vs mln note company owns pct of bramalea ltd reuter
acq	ventra buys joint venture leasing ventra management inc an over the counter company said it acquired joint venture leasing inc for mln venture shares valued at mln dlrs joint venture was organized in september to establish leasing joint ventures with manufacturers and vendors of computer equipment as a result of the acquisition and joint venture s backlog ventra said it expects sales to be mln dlrs with net profits of mln dlrs ventra was organized in september and completed a public offering of mln shares in january reuter
earn	international proteins corp pro year net oper shr cts vs cts oper net vs sales mln vs mln note net excludes tax credits of dlrs vs dlrs reuter
earn	wall street stocks ich corp ich ich corp s stock continued under pressure because of lower earnings expectations wall street analysts said the stock was down one today at and down about four since thursday when ich announced it would be reporting lower than expected fourth quarter net income the company said it would report full year net income of dlrs per share compared to dlrs per share in analysts said they had estimated net at dlrs and were now looking for at dlr to dlr range ich officials were unavailable for comment reuter
earn	l air liquide airp pa year ended dec parent company net profit mln francs vs mln dividend francs vs same note company said the dividend would apply to shares issued under capital increases during this means a pct rise in total dividend payments to mln francs on results from mln the previous year reuter
earn	decorator industries inc dii th qtr net ended jan three shr profit five cts vs na net profit vs loss revs vs year shr profit cts vs loss cts net profit vs loss revs mln vs mln note loss per share not given for quarter reuter
crude	fitzwater says reagan strongly against tax hike white house spokesman marlin fitzwater said president reagan s record in opposing tax hikes is long and strong and not about to change we re opposed to tax increases we will fight tax increases we will deal with it politically in every forum possible said fitzwater when questioned about whether there was any change in the administration s position fitzwater said reagan s strong feelings against a tax hike included opposition to an oil import fee the president s position is that he is opposed to it he said reuter
earn	franklin insured tax free sets payout mthly div cts vs cts prior pay march record march note franklin insured tax free income fund reuter
earn	burke parsons bowlby corp sets regular payout qtrly div three cts vs three cts prior pay may record april reuter
acq	bond corp completes consolidated press purchase bond corp holdings ltd bona s said it has completed the billion dlr purchase of the electronic media interests of unlisted consolidated press holdings ltd the new company bond media ltd now holds the television broadcasting and associated businesses previously held by kerry packer s consolidated bond corp said in a statement packer who made the sale in january will be a director of bond media as previously reported bond media will be publicly floated with a rights issue to bond corp shareholders bond media will be pct owned by bond corp and is expected to be listed by the end of may it said reuter
acq	dixons plans to let cyclops cyl offer expire dixons group plc said it does not plan to extend the expiration date of its tender offer for any and all common shares of cyclops corp beyond tonight dixons said it would accept shares validly tendered and not withdrawn by midnight tonight dixons which is offering dlrs a share for cyclops said last week it had about pct of cyclops common shares its offer originally was scheduled to expire march but was extended for one week yesterday citicorp cci with audio video affiliates inc ava an owner of cyacq said it had offered to acquire from dixons after the merger of cyclops into dixons cyclops industrial businesses for mln dlrs more than alleghany corp y is currently scheduled to pay for them citicorp said yesterday that its proposal would allow dixons to raise its tender price to dlrs per share citicorp said if dixons accepted the proposal cyacq would terminate its competing dlr offer for cyclops citicorp had suggested yesterday that dixons extend its tender until march in connection with the price increase reuter
earn	british telecom cautious on earnings prospects british telecommunications plc s bty l profit growth prospects for the coming years will be reduced by increasing competition and continued costs for replacing old telephone systems deputy chairman graeme odgers said speaking at a news conference on the third quarter results which were released earlier today odgers said the company faced heavy costs for installing new digital telephone systems in britain for three to five years he said mercury communications ltd a cable and wireless plc cawl l subsidiary was becoming a significant competitor odgers said mercury was seeking to make inroads into some of british telecom s most profitable areas one company official privately estimated that british telecom still had a pct share of the u k telecommunications market but feared that this could slip to or pct the recent two and a half week engineering strike which lead to some disruption in service could well have encouraged clients to consider using the mercury system odgers said however he forecast that the last quarter s results overall should not be adversely affected by the walkout he calculated salary savings as a result of the strike at mln stg and while loss of income on telephone calls should be limited revenue probably dropped on peripheral activities but on balance odgers said that group s financial strength economies of scale and the fact that it operates in a growth industry will help produce annual profit increases for the forseeable future british telecom will also seek to expand into manufacturing he said adding that research and development expenditure will rise both in terms of value and compared with the current proportion of two pct of overall turnover analysts said the company s downbeat forecasts helped shares dip to p in mid afternoon down p from yesterday s close and off an early high of p philip augar of stockbrokers wood mackenzie and co ltd said the market expects slower profit growth but forecast a seven to eight pct rise in both earnings per share and pretax profit over the next two years in the financial year pre tax profit rose to billion stg from billion augar noted that a government imposed formula linking charges to inflation meant that the company s scope for raising prices was limited as long as inflation remains low reuter
earn	newmont mining nem plans for stock split newmont mining corp s board has proposed a two for one stock split subject to shareholder approval of an increase to mln from mln in authorized common shares the proxy for the company s annual meeting said if holdings voting at the may six meeting in wilmington del approve the increase in authorized shares the split will be paid in the form of a stock dividend on june to holders of record may the proxy said newmont said it will also ask shareholders to approve amendments to its certificate of incorporation limiting certain liabilities of its directors reuter
earn	america first mortgage sets special payout america first federally guaranteed mortgage fund two said it is making a special distribution of cts per exchangeable unit which includes cts from return on capital and cts from income gains reuter
acq	mobex says about pct of grant gtx tendered mobex corp said grant industries inc common shares about pct of the mln outstanding have been tendered in response to mobex s offer the company said its offer of dlrs a share for the stock has been extended to est march from march reuter
earn	pier imports pir amending dates on split pier imports inc said it amended its record and distribution dates for its previously announced three for two common and cts preferred stock split the split common and cts preferred shares will be distributed on july to shareholders of record june the stock split requires shareholder approval of an increase in authorized shares of common stock to mln from mln and an increase of authorized shares of preferred stock to five mln from one mln the company said the change in the dates was based on the company s desire to have the additional common and cts preferred shares trade for the shortest practical period of time on a when issued basis following a favorable shareholder vote at the annual meeting june it said the previously announced record and distribution dates were may and june respectively the company said reuter
earn	rowntree reports pretax profit at mln stg rowntree mackintosh plc rwnt l announced it made a pretax profit of mln stg in the weeks ending january compared with mln stg in the previous year turnover was up to billion stg from billion a final dividend of p was proposed after a final p last year earnings per share rose to p from p the results were broadly in line with market expectations leaving shares at p in early trading up one pence from yesterday s close but slightly off pre announcement opening levels profit on ordinary activities after tax was mln stg up from the previous year s mln the u k remained rowntree s largest centre for trading profits accounting for mln stg up from mln in profit from its second largest geographical area north america slipped to mln stg from mln north american profits were affected by the fall of the value of the dollar operations in continental europe made mln stg in trading profit up from mln with mln stg made in australasia up from mln and mln stg from the rest of the world against mln in the previous year extraordinary items amounted to a mln debit after a mln debit previously a company spokesman said this represented additional provisions for the cost of rationalisation plans announced in earlier years rowntree expects north american operations will this year ahead of company expectations be of the same order as those from the u k and the rest of europe combined the statement said a spokesman said no specific figures had been forecast acquisitions will continue to be sought worldwide including further moves in the speciality retailing business which rowntree first entered in the statement said rising profit from europe this year was forecast by chairman kenneth dixon in a statement he added the performance of seven businesses bought last year was encouraging the u k confectionery side gained market share and increased trading margins the sun pat british grocery concern increased profit and rowntree s small health food business holgates raised earnings fold the statement said offsetting factors included currency movements which cost the company nearly mln stg sales tax hurt canadian profits on confectionery operations and the company faced strong competition in the u k snack and mid east export markets reuter
earn	co steel inc th qtr net oper shr cts vs cts oper net vs revs mln vs mln avg shrs mn vs mln year oper shr dlrs vs cts oper net vs revs mln vs mln avg shrs mln vs mln note qtr shr and net exclude tax gain of dlrs or cts share versus gain of dlrs or dlrs share year shr and net exclude tax gain of dlrs or cts share versus gain of dlrs or dlrs share reuter
earn	elder beerman stores corp eldr th qtr feb one oper shr cts vs dlrs oper net vs sales mln vs mln year oper shr dlrs vs dlrs oper net vs sales mln vs mln note share adjusted for five pct stock dividend prior year net both periods excludes gain dlrs from reversion of overfunded pension plans year net includes pretax lifo inventory charge dlrs vs credit dlrs tax rate pct vs pct due to impact of tax reform act of bad debt writeoffs for year up one mln dlrs pretax from the year before reuter
acq	american express axp seen in possible spinnoff american express co remained silent on market rumors it would spinoff all or part of its shearson lehman brothers inc but some analysts said the company may be considering such a move because it is unhappy with the market value of its stock american express stock got a lift from the rumor as the market calculated a partially public shearson may command a good market value thereby boosting the total value of american express the rumor also was accompanied by talk the financial services firm would split its stock and boost its dividend american express closed on the new york stock exchange at up on heavy volume american express would not comment on the rumors or its stock activity analysts said comments by the company at an analysts meeting tuesday helped fuel the rumors as did an announcement yesterday of management changes at the meeting company officials said american express stock is undervalued and does not fully reflect the performance of shearson according to analysts yesterday shearson said it was elevating its chief operating officer jeffery lane to the added position of president which had been vacant it also created four new positions for chairmen of its operating divisions analysts speculated a partial spinoff would make most sense contrary to one variation on market rumors of a total spinoff some analysts however disagreed that any spinoff of shearson would be good since it is a strong profit center for american express contributing about pct of earnings last year i think it is highly unlikely that american express is going to sell shearson said perrin long of lipper analytical he questioned what would be a better investment than a very profitable securities firm several analysts said american express is not in need of cash which might be the only reason to sell a part of a strong asset but others believe the company could very well of considered the option of spinning out part of shearson and one rumor suggests selling about pct of it in the market larry eckenfelder of prudential bache securities said he believes american express could have considered a partial spinoff in the past shearson being as profitable as it is would have fetched a big premium in the market place shearson s book value is in the mln dlr range shearson in the market place would probably be worth three to bilion dlrs in terms of market capitalization said eckenfelder some analysts said american express could use capital since it plans to expand globally they have enormous internal growth plans that takes capital you want your stock to reflect realistic valuations to enhance your ability to make all kinds of endeavors down the road said e f hutton group analyst michael lewis they ve outlined the fact that they re investing heavily in the future which goes heavily into the international arena said lewis that does not preclude acquisitions and divestitures along the way he said lewis said if american express reduced its exposure to the brokerage business by selling part of shearson its stock might better reflect other assets such as the travel related services business it could find its true water mark with a lesser exposure to brokerage the value of the other components could command a higher multiple because they constitute a higher percentage of the total operating earnings of the company he said lewis said shearson contributed mln in after tax operating earnings up from about mln dlrs in reuter
trade	south korea to keep trade surplus years south korean trade minister rha woong bae said his nation would maintain a trading surplus for three to five years as a way to cut its foreign debt he said in an interview with reuter that after a few years it was likely south korea would drop barriers to foreign goods and move toward a more balanced trade position he said the present trade surplus was vital if his nation was to reduce its billion dlr foreign debt rha said that was the first year south korea had a trade surplus billion dlrs against a deficit of mln dlrs rha made his remarks at the end of a two week trade mission here during which a team he led agreed to buy u s products valued at billion dlrs about mln dlrs of the purchases here were in goods of the type south korea normally bought from japan rha leaves today for ottawa for trade talks with canadian officials and businessmen asked if south korea would retaliate against u s goods if congress closed u s markets to its products he said at this moment we have no thought of retaliation south korea is a major exporter to the u s of textiles and apparel and electronic goods such as television sets video cassette records and personal computers its purchases from the united states include electronic testing equipment grains and cotton reuter
earn	stone and webster inc sw sets quarterly qtly div cts vs cts prior pay may record april one reuter
earn	american agronomics corp agr nd qtr feb shr profit one cts vs loss three cts net profit vs loss revs mln vs mln six months shr profit six cts vs loss six cts net profit mln vs loss mln revs mln vs mln note six months includes gain of four cts from change in accounting principle reuter
earn	household int l hi projects earnings rise household international inc said it expects its fully diluted earnings per share for the first quarter to be about pct above the same year ago period it also looks for full year fully diluted earnings to be about pct higher than the record dlrs a share reported for chairman donald clark in remarks prepared for delivery to new york security analysts cited increased earnings from household financial services and excellent return on equity from household manufacturing combined with the impact of our share repurchase program will result in higher earnings per share and improved return on equity in reuter
trade	nakasone intervenes in microchip dispute prime minister yasuhiro nakasone intervened to try to resolve japan s escalating dispute with the u s over semiconductor trade government officials said at today s cabinet meeting nakasone told trade and industry minister hajime tamura to redouble his efforts to calm u s anger over what it sees as japan s unfair trade practices in semiconductors nakasone intervened only two days before a scheduled meeting of the reagan administration s economic policy council to consider whether japan is reneging on its microchip pact with the u s that pact agreed last year after months of negotiations calls on japan to stop selling cut price chips in world markets and to raise its imports of u s semiconductors senior u s officials have accused tokyo of failing to live up to the accord and have threatened retaliatory action yesterday tamura s ministry of international trade and industry miti launched a last ditch attempt to salvage the pact by writing letters to u s policy makers setting out japan s case and telling japanese chip makers to cut output in his letter the contents of which were released today tamura said a miti survey carried out at the beginning of march showed japanese producers were not selling at cut rate prices in asian markets in a separate letter sent to senior u s officials miti vice minister for international affairs makoto kuroda suggested the two countries could conduct a joint investigation into allegations of japanese chip dumping in such markets reuter
acq	travelers tic unit to buy realty divisions the travelers corp s travelers mortgage services said it signed a letter of intent to buy two subsidiaries of the privately held equitable life assurance society of the u s the company said it plans to acquire the equitable relocation management corp and the equitable realty network inc the company said the acquisitions will give it broader distribution of its corporate relocation service and mortgage programs reuter
earn	national computer systems inc nlcs th qtr net shr cts vs cts net vs revs mln vs mln avg shrs mln vs mln year shr cts vs cts net vs revs mln vs mln avg shrs mln vs mln reuter
earn	mortgage growth investors mtg st qtr feb shr cts vs cts net vs qtly div cts vs cts prior avg shrs vs note dividend payable april to shareholders of record march reuter
earn	best products co bes th qtr jan net shr profit dlrs vs profit cts net profit mln vs profit mln sales mln vs mln year shr loss cts vs profit eight cts net loss mln vs profit sales vs note current year net both periods includes prtax provisions for restructuring operations of dlrs in quarter and mln dlrs in year latest year net includes dlr tax credit and dlr posttax loss from debt extinguishment reuter
earn	interco inc iss th qtr feb net shr cts vs cts net vs sales mln vs mln year shr dlrs vs dlrs net vs sales billion vs billion note results reflect two for one stock split of july reuter
earn	campbell red lake mines ltd crk th qtr net shr cts vs cts net vs revs mln vs mln year shr cts vs cts net mln vs mln revs mln vs mln note net includes mln dlr extraordinary gain in th qtr and mln dlr fl yr extraordinary loss involving provision for decline in market value of marketable securities partly offset by gain from sale of stake in dome petroleum ltd dmp reuter
acq	conrac cax soars following mark iv iv bid heavy buying by speculators boosted conrac corp to higher than a dlr per share cash tender offer announced by mark iv industries inc iv it s a case of chemlawn euphoria said one arbitrageur referring to a recent hostile tender that began at dlrs per share and ended when chemlawn corp chem found a white knight willing to bid dlrs for conrac the arbitrageur said dlrs per share seemed like an appropriate price another said it s too early to project the outcome the market is speaking for itself and saying the dlr offer is inadequate the second arbitrageur said but he added it was hard to make a case for conrac being worth much more than the dlrs where the shares traded today he noted the stock recently sold in the high teens and there could be a downward risk of dlrs or more if conrac is able to thwart mark iv conrac urged shareholders to take no action while its board studies the offer and confers with advisers conrac said it would make a recommendation by april a third arbitrageur noted mark iv had been involved in several takeovers previously and has proven itself to be a determined bidder they re not beginners he said another said conrac might have trouble if it tried to find another buyer it s a hodge podge of non related businesses he said there is only a small universe of people who would want to own the company as it s presently structured conrac is involved in video displays computer software aircraft instruments telephone answering machines welding equipment and other products i m telling retail clients to sell and leave the rest for those who can take the risk said rudolph hokanson analyst at milwaukee co he called the dlr offer by mark iv fair value but on the low side i don t think management was looking for a buyer in any way before this offer he said hokanson said conrac has conservative finances and has developed a reputation for quality products that serve niche markets he said management has done a good job of turning around the telephone answering machine business reuter
acq	foreign firms hope to join japan telecom company one of two rival firms seeking to enter japan s international telecommunications market said it will offer a stake in the company to foreign firms president of international telecom japan inc itj nobuo ito decline to specify what share the firms would take but told reuters they would not participate in its management itj and international digital communications planning inc idc in which both cable and wireless plc cawl l and pacific telesis group pac n own pct stakes are set to merge into a new entity to compete against kokusai denshin denwa co ltd kdd the ministry of posts and telecommunications has urged the two rival firms to merge so kdd would have only a single competitor the ministry has also rejected foreign management japan s law limits foreign ownership of any new international telecommunications entrant to pct so c and w s and pacific s stakes could be three pct in the merged firm sources said those seeking to join are general electric co ge n ford motor co f n citibank na bankamerica corp bac nyse shearson lehman bros inc saloman brothers asia boeing computer service unisys corp uis n societe generale and deutsche bank ag dbkg fra the merger plan has been criticised for excluding foreign firms from a meaningful position in the market the u k s prime minister margaret thatcher u s secretary of state george shultz u s commerce secretary malcolm baldrige and u s trade representative clayton yeutter have all expressed such opposition japanese prime minister yasuhiro nakasone will draft a reply to the criticism following further discussion a posts and ministry official said reuter
earn	spar sees sees strong five year growth spar aerospace ltd reporting a sharply lower profit said it anticipated solid profit and revenue growth during the next five years looking to the longer term spar is confident that its continuing concentration on advanced robotics satellite based communications and electro optical defense systems will lead to significant growth in revenues and earnings over the next five years the company said it also forecast higher sales due to an increased order backlog revenues last year fell to mln dlrs from mln while profit fell to mln dlrs from mln spar added that lower development costs in the communications group and a return to normal operations in gears and transmissions and aviation services will remove a serious drain on profits this year it attributed its reduced earnings to communications group losses resulting from continued heavy investment in new products and market development a four month strike at its toronto plants and delays in receipt of authorization from customers to start work on new programs reuter
trade	baldrige predicts end of u s japan trade dispute the united states and japan will soon settle their trade dispute over semiconductors u s commerce secretary malcolm baldrige said on television baldrige referring to the u s japan trade agreement on semiconductors said their government wants to live up to it their industries haven t been doing it and i think we ll have a good settlement to spare both sides i think the japanese understand full well that they haven t lived up to this commitment he said he added i do not think there will be a trade war at all on friday washington announced plans to put as much as mln dlrs in tariffs on japanese electronic goods from april because of tokyo s failure to observe the agreement the officials said the tariffs would be ended as soon as japan started adhering to the agreement but they said there was little chance japan could react quickly enough to avert the higher tariffs baldrige said the reagan administration hoped the strong u s action against japan would convince congress to tone down protectionist trade legislation now being drafted he denied the action had been taken for that reason reuter
interest	italian treasury cuts interest on certificates the italian treasury said annual coupon rates payable march on two issues of long term treasury certificates ccts would be cut by about four percentage points compared with rates this march coupon rates on year certificates maturing march will fall to pct from pct and rates on year issues maturing in march would fall to pct from pct the treasury also cut by point six monthly coupons payable this september on six issues maturing between september and september the issues carry terms of between five and seven years and will have coupon rates of between and pct in september compared with and pct this march reuter
earn	american west bank first qtr net net vs assets mln vs mln deposits mln loans mln vs mln note earnings per share and deposits figure not supplied by company reuter
earn	sun hung kai co ltd year shr h k cents vs final div six cents vs three making nine cents vs net mln dlrs vs mln note extraordinary gains mln dlrs vs mln special bonus four cents vs nil dividend payable may books close april to may reuter
crude	norsk hydro saga seek drilling rights in gabon norwegian oil companies norsk hydro a s nhy ol and saga petroleum a s sago ol said they have applied for offshore exploration drilling licenses in gabon on africa s west coast saga petroleum said it has applied for a pct share and operatorship on one block adding finnish oil company neste neoy he pct spain s hispanoil pct and the world bank s international finance corporation ifs pct have joined saga to fill remaining shares in the application saga spokesman roy halvorsen told reuters he expected gabonese officials would reply to the application by easter halvorsen said this is the first time saga has applied to operate on opec member gabon s continental shelf adding that italian oil company agip is heading a group of applicants in a separate bid for the same license norsk hydro has also applied for an undisclosed share in a single exploration license in which u s oil company tenneco has already been assigned operatorship company spokesman bjoern tretvoll said reuter
earn	lincoln savings lnsb sets first payout lincoln savings bank said its board declared an initial dividend of cts per share payable april to shareholders of record april reuter
money-fx	gulf arab ministers discuss economic cooperation finance and economy ministers of the gulf cooperation council gcc opened a two day meeting to discuss further economic integration officials said they said issues to be discussed by the ministers from bahrain kuwait oman qatar saudi arabia and the united arab emirates uae would include a recommendation by central bank governors on a common currency exchange rate the governors agreed in january on a denominator on which to base currencies of the six states any decision will be forwarded for final approval to a gcc summit meeting due in saudi arabia late this year the six states have different currency systems saudi arabia bahrain qatar and the uae are linked in theory to the international monetary fund s basket of currencies the special drawing right sdr but in practice to the dollar oman links its currency formally to the dollar while kuwait pegs its dinar to a trade weighted basket devised by itself the denominator chosen by central bank governors has not been disclosed but some bankers expect the currencies to be linked to the sdr or a trade weighted basket opening the meeting ahmed al tayer the uae s minister of state for finance and industry said implementation of joint economic agreements is increasingly linking the interests of gcc citizens together the general assembly of the gulf investment corporation met in abu dhabi earlier under the chairmanship of bahrain s finance and national economy minister ibrahim abdul karim the corporation was formed to contribute to joint economic and investment projects in the gcc officials said the corporation s assets rose to billion dollars last year from billion at the end of reuter
earn	silver state mining corp ssmc th qtr net shr one ct vs one ct net vs revs vs year shr seven cts vs one ct net vs revs vs reuter
acq	monoclonal antibodies mabs buys company monoclonal antibodies inc said it signed an agreement in principle to buy genesis labs inc for about mln dlrs of common stock the agreement is subject to shareholders approval and other conditions reuter
acq	investor to take control of river oaks roi river oaks industries inc said it agreed in principle to give control of the company to benson seizer a new york investor in return for mln dlrs in capital the company a maker of mobile homes said it terminated merger discussions with nursing centers of america river oaks said it will place a mln dlr convertible note with seizer who in turn will name six additional members to the company s five member board one of the new directors will take over as chairman and chief executive officer river oaks said river oaks said the note will be convertible into two mln shares of its common stock at one dlr a share the company currently has mln shares outstanding the company said it will also grant seizer an option to buy an additional mln shares during the next four years at dlrs a share during the first year and dlrs a share thereafter the company said the money raised from seizer will further strengthen its balance sheet and enhance its ability to seek selective expansion opportunities seizer is experienced in turnaround situations and is expected to take direct involvement in river oaks management said charles f degroot who will remain a director of the company after giving up the post of chairman to one of seizer s board nominees don manning will cede his post as chief executive but will remain president the company said reuter
acq	pittston pco agrees to acquire wtc waf pittston co said it has tentatively agreed to acquire wtc international n v in a tax free exchange of stock pittston said it agreed to exchange common share for each of the about wtc common shares outstanding pittston said wtc s three principal shareholders who own pct of its stock are parties to this agreement they have granted pittston the right of first refusal to their shares wtc has granted pittston an option to buy wtc shares equal to poct of its outstanding stock the agreement is subject to approval of both boards and wtc shareholders pittston said described wtc as a fast growing air freight forwarding company with operations throughout the world its revenues totaled nearly mln dlrs in the year ended november and for the quarter ended on that date it earned mln dlrs on revenues of mln dlrs pittston said its burlington air express subsidiary generates about two thirds of its mln dlrs in annual revenes with its domestic air freight services reuter
ship	two brazilian shipping firms settle with strikers two small shipping companies have reached a pay deal with striking seamen but union leaders said most of brazil s seamen were still on strike a union spokesman in rio de janeiro said the seamen had accepted a pct pay offer from the companies globo and flumar which have less than employees each the two week strike comes as brazil faces a debt crisis and is delaying exports badly needed to earn foreign exchange labour minister almir pazzionotto said the government will not force a settlement of the strike which was ruled illegal last friday reuter
acq	first financial ffmc buys confidata first financial management corp said it acquired confidata corp a unit of north ridge bank paying dlrs in cash and pledging a guarantee on a dlr confidata note held by north ridge first financial which provides data processing services to community banks and other financial institutions said the acquisition will expand its customer base reuter
earn	mcrae industries inc mri b nd qtr jan net shr cts vs three cts net vs revs vs six mths shr cts vs cts net vs revs mln vs reuter
